CAR_NAME,MODEL,NO_OF_YEARS,DEALER,MILES_DRIVEN,RATE,NO_OF_REVIEWS,PRICE
Audi Q5 2.0T Premium Plus,2013,8,Heritage Cadillac,97074,4.5,60,15118
Audi A8 L 4.0T Sport,2017,4,Advantage Toyota of River Oaks,42967,4.7,1045,48773
Audi A5 2.0T Premium Plus,2018,3,Lombard Toyota,41972,4.8,4,38995
Audi A3 2.0 TDI Premium Plus,2011,10,US Motors Inc,97074,4.3,6,10995
Audi S5 4.2 quattro,2009,12,Xchange Motors,96411,4.7,693,19985
Audi Q8 3.0T Premium Plus,2019,2,Napleton Aston Martin Maserati,30809,4.3,186,52999
Audi A4 2.0T Premium Plus quattro,2010,11,Auto House Motors,96841,4.6,634,10990
Audi Q7 3.0T Premium Plus,2014,7,Star Motor Sales,84083,4.8,654,21899
Audi RS 7 4.0T Prestige,2015,6,Greater Chicago Motors,26875,4.8,654,52999
Audi S3 2.0T Premium Plus,2017,4,The Audi Exchange,73315,4.8,654,28587
Audi Q8 55 Premium,2019,0,The Audi Exchange,7502,4.8,654,52999
Audi Q7 3.0T Prestige,2018,3,The Audi Exchange,25887,4.8,654,52999
Audi A4 2.0T Premium Plus,2018,3,The Audi Exchange,39419,4.5,1943,33987
Audi TT RS 2.5,2013,8,The Audi Exchange,43791,4.3,6,44987
Audi A7 3.0T Prestige,2019,2,Napleton's Arlington Heights Chrysler Dodge Jeep RAM,17297,4.6,52,52999
Audi Q7 3.0T Premium Plus,2018,3,Napleton Off Lease,16648,4.6,52,47900
Audi Q5 2.0T Premium,2012,9,CarMax Schaumburg - Now offering Curbside Pickup,42500,4.6,1074,24998
Audi A4 2.0T Premium Plus,2015,6,Jaguar Land Rover Schaumburg,59156,4.8,1062,20959
Audi SQ5 3.0T Premium Plus,2017,4,Zeigler Fiat Maserati Alfa Romeo of Schaumburg,74668,4.6,1161,33459
Audi S5 3.0T Prestige,2015,6,Arlington Acura in Palatine,78084,4.3,44,31985
Audi TT 2.0T,2008,13,Car City Inc,73192,4.7,1869,14500
Audi A8 L 55,2019,2,Zeigler Fiat Maserati Alfa Romeo of Schaumburg,23406,4.8,870,52999
Audi Q8 3.0T Premium Plus,2019,2,INFINITI of Hoffman Estates,33174,4.8,1943,52999
Audi RS 5 2.9T,2019,2,Audi Naperville,12817,4.5,595,52999
Audi S4 3.0T Premium Plus,2019,2,Chevrolet of Naperville,39581,4.7,1943,44495
Audi A4 2.0T Premium Plus,2019,2,Bill Jacobs VW,36559,4.6,111,34700
Audi A4 2.0T Premium Plus,2018,3,Audi Hoffman Estates,32084,4.7,1943,35880
Audi A6 2.0T Premium Plus,2018,3,Napleton Mazda of Naperville,36706,4.7,1943,33700
Audi Q5 45 Premium Plus,2019,1,Audi Hoffman Estates,19656,4.7,1943,49980
Audi Q7 2.0T Premium Plus,2018,3,Audi Hoffman Estates,18709,4.7,1943,48880
Audi A4 2.0T Premium Plus,2018,3,Audi Hoffman Estates,21434,4.7,1943,35880
Audi A6 45 Premium,2019,2,Audi Hoffman Estates,23788,4.7,1943,49880
Audi Q3 45 S line Premium,2019,0,Audi Hoffman Estates,4726,4.7,1943,42880
Audi Q7 55 Prestige,2019,0,Audi Hoffman Estates,20625,4.7,1943,52999
Audi Q5 45 Premium,2019,0,Audi Hoffman Estates,6016,4.8,1943,52990
Audi Q5 2.0T Prestige,2019,2,Audi Hoffman Estates,20428,4.7,14,48880
Audi Q7 3.0T Premium Plus,2014,7,Ravenite Motor Cars,97074,4.7,525,17950
Audi A4 2.0T Premium Plus,2019,2,CarMax Naperville - Now offering Curbside Pickup,10227,4.8,630,38998
Audi Q8 3.0T Prestige,2019,2,Ultimo Motors West,27556,4.8,630,52999
Audi R8 5.2 V10 performance,2019,1,Chicago Motor Cars,14052,4.8,654,52999
Audi A6 3.0T Premium Plus,2016,5,Chicago Motor Cars,71302,4.7,169,25800
Audi e-tron Prestige,2019,2,Porsche Downtown Chicago,13344,4.7,1022,52999
Audi Q3 2.0T Prestige,2019,1,Mike Anderson Chevrolet of Chicago,24098,4.6,1419,40995
Audi A4 2.0T Premium Plus,2018,3,City Volkswagen Of Evanston,27780,4.6,44,31597
Audi A3 2.0T Premium Plus,2015,6,The Autobarn Mazda of Evanston,74426,4.6,44,19695
Audi Q5 45 Premium,2019,1,Al Piemonte Nissan,10317,4.7,156,45000
Audi S4 3.0 Prestige,2011,10,Chicago Cars US,97074,4.6,44,17985
Audi S4 3.0 Prestige,2010,11,Chicago Cars US,97074,4.1,1943,16985
Audi Q7 3.0T Prestige,2017,4,Driven Auto Sales,97074,4.2,361,33980
Audi A6 3.0T Prestige quattro,2013,8,Chicago Cars US,97074,4.2,361,15985
Audi S4 3.0T Premium Plus,2013,8,Sherman Dodge Chrysler Jeep RAM,97074,4.2,361,20474
Audi Q3 2.0T Premium Plus,2019,2,Audi Morton Grove,21225,4.2,361,36999
Audi e-tron Prestige,2019,2,Audi Morton Grove,6893,4.2,361,52999
Audi Q5 45 Premium,2019,1,Audi Morton Grove,3875,4.8,662,45995
Audi SQ5 3.0T Premium,2019,1,Audi Morton Grove,8748,4.2,172,52999
Audi TT 2.0T,2008,13,Chicago Fine Motors,97074,4.1,119,9650
Audi Q5 3.0T Premium Plus,2017,4,KNB Motors Inc,97074,4.1,119,26495
Audi Q7 3.0T Premium Plus,2013,8,S&M Auto Sales,97074,4.8,68,14988
Audi A7 3.0T Premium Plus,2019,2,SJL Motors,6321,4.7,59,52999
Audi A8 L 55,2019,2,SJL Motors,6900,4.1,549,52999
Audi A7 3.0T Prestige,2019,2,Motorcars Express,12731,4.8,2,52999
Audi A4 2.0T Premium Plus,2013,8,CarNeed,42321,4.8,150,19495
Audi A8 L 3.0T,2019,2,Chicago Auto Place,34586,4.7,671,52999
Audi S4 3.0T Premium Plus,2018,3,Chicago Auto Place,21575,4.8,1529,43888
Audi S3 2.0T Prestige,2018,3,Glenview Luxury Imports,67409,4.4,1113,37888
Audi Q5 2.0T Premium,2015,6,Napleton Hyundai of Glenview,75061,4.6,322,19901
Audi Q5 2.0T Premium Plus,2015,6,Jennings Chevy / VW,62895,4.1,60,22488
Audi Q5 Premium Plus,2011,10,Castle Chevrolet of Villa Park,97074,4.6,322,13477
Audi A8 L 3.0T,2013,8,Highline Auto Sales,79298,4.6,322,26995
Audi Q7 3.0T Premium Plus,2013,8,Highline Auto Sales,86204,4.5,67,19775
Audi A4 2.0T Premium Plus,2016,5,Highline Auto Sales,88996,4.7,603,19995
Audi A4 2.0T Premium,2014,7,Bose Motors,75584,4.7,603,18995
Audi A6 2.0T Premium Plus quattro,2014,7,Adam Auto Group,97074,4.7,1108,14894
Audi S4 3.0 Prestige,2012,9,Audi Westmont,97074,4.7,603,17912
Audi Q3 45 S line Premium,2019,0,Audi Westmont,8088,4.7,603,39777
Audi Q7 3.0T S line Prestige,2015,6,McGrath Acura of Westmont,97074,4.8,715,23988
Audi A8 L 4.0T,2015,6,Audi Westmont,50518,4.7,603,36499
Audi A4 2.0T Premium Plus,2019,2,Audi Westmont,54416,4.7,603,33460
Audi S7 4.0T Prestige quattro,2014,7,Napleton Porsche of Westmont,97074,4.7,603,28900
Audi Q5 45 Premium,2019,0,Audi Westmont,6964,4.5,55,48499
Audi A4 40 Premium,2019,0,Audi Westmont,8882,4.7,693,39777
Audi A8 3.0T quattro,2013,8,United Auto Exchange,64272,4.5,17,25895
Audi TT RS 2.5T,2018,3,Napleton Aston Martin Maserati,6543,4.7,719,52999
Audi A7 3.0T Premium Plus quattro,2012,9,Alpha Luxury Motors,59126,4.7,222,25985
Audi A6 3.0T Prestige,2016,5,Auto's of Chicago,52536,4.8,20,29855
Audi Q3 45 S line Premium,2019,1,Castle Chevrolet North,12445,4.7,267,37977
Audi A4 2.0T Premium Plus,2017,4,CarLotz Downers Grove,94544,4.7,1498,22500
Audi A3 2.0 TDI Premium,2015,6,D&M Motorsports,14898,4.8,1,23995
Audi A6 45 Premium,2019,2,Audi Orland Park,16429,4.6,634,44595
Audi Q5 2.0T Premium Plus,2017,4,Napleton River Oaks Honda,80716,4.8,654,25000
Audi A4 2.0T Premium Plus,2018,3,Carlotz Highland Park,41746,4.8,654,28500
Audi A8 L 3.0T,2019,2,Greater Chicago Motors,22610,4.5,15,52999
Audi S4 3.0T Premium Plus,2019,1,The Audi Exchange,3692,4.7,267,52999
Audi A8 L 3.0T,2013,8,Haus of Imports,97074,4.8,654,21800
Audi RS 3 2.5T,2019,2,CarMax Tinley Park - Now offering Curbside Pickup,13799,4.5,15,52999
Audi A4 45 Premium,2019,1,Audi Orland Park,16225,4.8,654,38995
Audi Q5 2.0T Premium,2019,2,The Audi Exchange,29475,4.8,799,39987
Audi A5 Premium Plus,2010,11,Haus of Imports,91090,4.3,6,14500
Audi A4 2.0T Premium Plus quattro,2014,7,The Audi Exchange,94156,4.7,243,16987
Audi Q7 3.0T Premium Plus,2018,3,Volvo Cars Lisle,54671,4.6,52,43279
Audi Q8 55 Premium,2019,0,Napleton Off Lease,8615,4.8,151,52999
Audi S5 4.2 Prestige quattro,2012,9,Diamond Motorworks,64287,4.4,496,32800
Audi A8 L 3.0T,2015,6,Guaranteed Motor Cars,67118,4.6,1943,34900
Audi Q7 3.0T Premium,2017,4,Fox Valley Volkswagen Schaumburg,60133,4.4,496,35990
Audi A6 3.0T Premium Plus,2017,4,Bob Rohrman's Schaumburg Lincoln,58560,4.8,1943,32990
Audi A5 2.0T Premium Plus,2019,2,Thomas Dodge Chrysler Jeep RAM of Highland,30523,4.8,22,38000
Audi A3 2.0T S line Premium,2019,1,Bob Rohrman's Schaumburg Lincoln,2996,4.2,116,35490
Audi S5 3.0T Premium Plus,2018,3,Woodfield Lexus,55913,4.2,116,45995
Audi A4 2.0T Premium quattro,2013,8,CRS Auto Group,81680,4.2,116,15988
Audi A6 3.0T Premium Plus quattro,2014,7,Lux Cars Chicago,79684,4.3,44,20975
Audi A5 2.0T Premium Plus,2018,3,Lux Cars Chicago,63464,4.2,11,33975
Audi SQ5 3.0T Premium,2019,2,Zeigler Fiat Maserati Alfa Romeo of Schaumburg,20271,4.6,463,51875
Audi Q5 2.0T Premium Plus,2015,6,Schaumburg Pre-Driven,84176,4.3,44,21659
Audi Q5 3.0T Premium Plus,2014,7,Car City Inc,97074,4.7,1943,18990
Audi A5 2.0T Premium,2015,6,Chevrolet of Palatine,69812,4.7,1943,23777
Audi Q5 2.0T Premium Plus,2013,8,Zeigler Fiat Maserati Alfa Romeo of Schaumburg,90669,4.7,1943,17975
Audi RS 7 4.0T Prestige,2017,4,Lexus of Arlington,55106,4.3,28,52999
Audi R8 5.2 quattro Plus,2017,4,Audi Hoffman Estates,6068,4.8,870,52999
Audi Q5 2.0T Prestige,2018,3,Audi Hoffman Estates,30293,4.7,1943,42980
Audi A8 L 3.0T,2013,8,Import Exchange Inc.,97074,4.7,1943,18900
Audi e-tron Prestige,2019,2,Audi Naperville,15643,4.1,16,52999
Audi Q3 45 S line Premium,2019,0,Audi Hoffman Estates,12287,4.3,28,40880
Audi TT 2.0T Premium Plus quattro,2014,7,Audi Hoffman Estates,16881,4.8,870,32880
Audi A6 3.0T Premium Plus,2018,3,B & M Auto Sales,45097,4.7,1943,38900
Audi Q7 3.0T S line Prestige,2015,6,Import Exchange Inc.,97074,4.7,525,24900
Audi A4 40 Premium Plus,2019,1,Audi Naperville,8041,4.7,636,41991
Audi SQ5 3.0T Premium,2019,1,Audi Hoffman Estates,8015,4.6,74,52999
Audi S4 3.0T Premium Plus,2013,8,Ultimo Motors West,67502,4.8,654,26900
Audi A6 3.0T Premium Plus quattro,2014,7,Conway Imports,88322,4.8,1048,20995
Audi Q5 2.0T Premium,2014,7,Shaver Preferred Motors,77128,4.6,1442,21500
Audi A6 55 Premium Plus,2019,2,The Audi Exchange,23948,4.8,1048,49787
Audi A5 2.0T Premium Plus,2019,2,Porsche Downtown Chicago,5925,4.8,1048,41500
Audi A5 2.0T Premium Plus,2019,1,Fletcher Jones Audi,6200,4.8,1585,48888
Audi Q5 2.0T Premium Plus,2017,4,Volkswagen of Downtown Chicago,37231,4.1,43,29000
Audi Q3 2.0T Prestige,2016,5,Fletcher Jones Audi,30638,4.7,169,27551
Audi SQ7 4.0T Premium Plus,2019,1,Fletcher Jones Audi,9591,4.8,1943,52999
Audi A4 2.0T Premium,2017,4,Marino Chrysler Jeep Dodge RAM,42794,4.5,24,24994
Audi A4 2.0T Avant quattro,2008,13,777 Auto Sales,76829,4.6,44,10777
Audi A3 2.0T Premium,2018,3,Zeigler Cadillac of Lincolnwood,70112,4.2,361,23018
Audi A4 2.0T Premium quattro,2011,10,Moto Zone Inc.,61948,4.1,28,12995
Audi Q5 2.0T Premium Plus,2018,3,Summit Auto Center,44939,4.2,361,30975
Audi S4 3.0 Premium Plus,2011,10,Chicago Cars US,97074,4.5,504,18985
Audi RS 5 2.9T,2019,0,Audi Morton Grove,1504,4.1,28,52999
Audi A3 2.0T Premium,2019,2,Volkswagen of Oak Lawn,29914,4.6,906,28620
Audi SQ5 3.0T Premium,2019,1,Audi Morton Grove,25505,4.3,27,52999
Audi A7 3.0T Premium Plus,2018,3,Star Nissan,8831,4.2,361,52999
Audi TT 2.0T Premium Plus quattro,2013,8,Volkswagen of Oak Lawn,87943,4.2,361,23998
Audi Q7 55 Premium Plus,2019,2,Ettleson Buick GMC,45526,4.7,1943,45706
Audi SQ5 3.0T Premium Plus,2015,6,Golf Mill Ford,55466,4.8,3,29998
Audi A7 3.0T Premium Plus,2016,5,S&M Auto Sales,66799,4.8,68,41988
Audi Q5 3.2 Premium Plus,2010,11,S&M Auto Sales,97074,4.1,119,10988
Audi Q7 2.0T Premium Plus,2017,4,S&M Auto Sales,87319,4.1,119,36988
Audi A3 2.0T Premium,2012,9,Pro Cars USA Inc,84068,4.8,3,10895
Audi SQ5 3.0T Premium Plus,2019,1,Motorcars Express,4120,4.8,173,52999
Audi RS 5 2.9T,2019,2,SJL Motors,11608,4.8,173,52999
Audi Q5 45 Premium,2019,1,SJL Motors,859,4.6,638,42555
Audi Q5 Premium Plus,2011,10,Pro Cars USA Inc,97074,4.7,671,11895
Audi S7 4.0T Premium Plus,2017,4,McGrath Acura in Morton Grove,35969,4.5,67,52999
Audi A4 2.0T Premium Plus,2017,4,Napleton Hyundai of Glenview,61416,4.5,67,25415
Audi S5 3.0T Prestige,2019,1,Chicago Auto Place,6403,4.5,67,52999
Audi Q5 2.0T Tech Premium,2018,3,Chicago Auto Place,82399,4.4,58,28888
Audi A8 4.0T,2013,8,Adam Auto Group,97074,4.7,1943,21995
Audi Q7 3.0T Premium Plus,2014,7,Adam Auto Group,97074,4.5,67,20850
Audi Q7 3.0T Premium Plus,2014,7,Adam Auto Group,97074,4.5,67,17777
Audi Q5 2.0T Prestige,2018,3,Jidd Motors,80487,4.2,71,31985
Audi Q7 3.0T Premium Plus,2017,4,Adam Auto Group,97074,4.7,603,27995
Audi Q3 2.0T Prestige,2015,6,Adam Auto Group,86527,4.7,1857,21099
Audi Q5 3.2 Premium,2010,11,Bose Motors,97074,4.7,603,10906
Audi A4 2.0T Prestige,2010,11,Your Choice Auto Sales of Posen,97074,4.5,60,10999
Audi A5 Premium Plus,2010,11,Audi Westmont,68188,4.5,55,18000
Audi A5 2.0T Premium,2018,3,Oakbrook Toyota in Westmont,38189,4.4,7,31753
Audi SQ5 3.0T Prestige,2018,3,Audi Westmont,31945,4.8,153,46390
Audi A3 2.0T Premium,2016,5,Volkswagen of Mount Prospect,18045,4.7,139,22922
Audi A3 2.0 TDI Prestige,2015,6,United Auto Exchange,91555,4.7,139,20895
Audi Q5 3.0T Premium Plus,2016,5,Top Gear Motors,84372,4.7,222,24945
Audi A3 2.0T Premium,2016,5,"Steve Foley Cadillac, Rolls-Royce, Bentley Northbrook",56590,4.7,693,21999
Audi TT 2.0T,2008,13,International Car Center,64388,4.7,222,14995
Audi Q7 2.0T Premium Plus,2018,3,CarLotz Downers Grove,53944,4.8,654,36298
Audi A8 L 60,2019,2,Napleton Aston Martin Maserati,14257,4.4,223,52999
Audi Q7 3.0T Premium Plus,2015,6,CarLotz Downers Grove,83564,4.5,15,23800
Audi S3 2.0T Premium Plus,2015,6,Auto's of Chicago,47770,4.8,654,28555
Audi Q5 2.0T Premium Plus,2015,6,Lexus Of Highland Park,67476,4.8,654,21907
Audi A4 2.0T Premium Plus quattro,2010,11,The Audi Exchange,97074,4.5,388,9787
Audi S7 4.0T quattro,2016,5,Lexus Of Highland Park,54814,4.8,654,47000
Audi A4 45 Premium,2019,1,The Audi Exchange,2405,4.5,388,43930
Audi TTS 2.0T quattro,2019,1,The Audi Exchange,7840,4.6,634,52999
Audi A6 3.0T Premium Plus quattro,2012,9,M & I Motors,97074,4.8,1,15500
Audi A5 2.0T Premium,2019,1,The Audi Exchange,10182,4.5,388,46350
Audi A3 2.0T Premium Plus,2015,6,Carlotz Highland Park,87812,4.6,52,17998
Audi A4 2.0T Premium Plus,2017,4,Guaranteed Motor Cars,39368,4.3,44,29900
Audi A3 2.0 TDI Premium Plus,2012,9,Napleton's Palatine Mazda,74074,4.6,1074,13923
Audi Q5 3.2 Prestige,2010,11,Excalibur Auto Sales,97074,4.8,1943,10999
Audi A4 2.0T Premium quattro,2011,10,Car City Inc,97074,4.7,1943,12990
Audi S4 3.0 Premium Plus,2012,9,Zeigler Fiat Maserati Alfa Romeo of Schaumburg,97074,4.8,1475,14576
Audi Q7 3.0T Prestige,2018,3,Jaguar Land Rover Schaumburg,74168,4.7,1869,38959
Audi S4 3.0T Prestige,2014,7,Bill Jacobs VW,91369,4.8,1475,25400
Audi A5 2.0T Premium Plus,2015,6,INFINITI of Naperville,53314,4.8,870,23924
Audi S5 3.0T Prestige,2018,3,Audi Hoffman Estates,15729,4.8,870,51880
Audi A5 2.0T Prestige quattro,2011,10,Muller's Woodfield Acura,70827,4.7,636,15898
Audi TT 2.0T,2019,1,Audi Naperville,5502,4.5,44,50991
Audi A4 2.0T Premium Plus quattro,2011,10,Napleton Nissan,97074,4.8,1348,6725
Audi Q5 3.2 Premium Plus,2010,11,Silver Auto Sales Inc.,95053,4.8,654,12995
Audi A5 2.0T Prestige quattro,2013,8,Conway Imports,97074,4.8,1048,18695
Audi Q5 2.0T Premium Plus,2016,5,Silver Auto Sales Inc.,63721,4.8,1048,22992
Audi A7 3.0T Premium Plus quattro,2012,9,Luxury Car Outlet,97074,4.8,902,18995
Audi A4 2.0T Premium Plus,2018,3,Haggerty Ford,38097,4.8,902,33400
Audi Q3 2.0T Premium Plus,2018,3,The Audi Exchange,83780,4.5,250,25187
Audi S4 3.0T Premium Plus,2019,0,Fletcher Jones Audi,1596,4.1,64,52999
Audi A3 2.0T Premium,2019,2,The Autobarn Volvo Cars of Oak Park,7311,4.2,28,36990
Audi Q5 2.0T Prestige,2018,3,The Autobarn Volvo Cars of Oak Park,36003,4.7,156,39593
Audi Q5 e 55 Premium,2019,0,Napleton's Northwestern Chrysler Jeep Dodge RAM,293,4.8,836,52999
Audi Q3 2.0T Prestige,2015,6,Zeigler Cadillac of Lincolnwood,95029,4.1,1943,19570
Audi Q7 3.0T Prestige,2018,3,Zeigler Ford of North Riverside,43056,4.2,361,48799
Audi A3 2.0T Premium Plus,2016,5,Baha Auto Group Inc.,97074,4.2,361,18995
Audi A4 2.0T Premium quattro,2011,10,Driven Auto Sales,63054,4.2,361,13980
Audi e-tron Premium,2019,0,Sherman Dodge Chrysler Jeep RAM,1896,4.2,361,52999
Audi A8 L 60,2019,2,Audi Morton Grove,11596,4.2,361,52999
Audi TT 2.0T Premium Plus quattro,2014,7,Audi Morton Grove,38657,4.2,361,27990
Audi TT 2.0T Cabriolet,2008,13,Chicago Fine Motors,97074,4.2,361,8950
Audi A5 2.0T Prestige,2018,3,Audi Morton Grove,30265,4.1,549,39999
Audi A6 3.0T Prestige,2015,6,S&M Auto Sales,97074,4.2,71,26988
Audi A7 3.0T Premium Plus,2016,5,S&M Auto Sales,93083,4.1,60,35988
Audi Q7 3.0T Prestige,2018,3,S&M Auto Sales,67373,4.1,72,46988
Audi A3 2.0T Premium,2016,5,S&M Auto Sales,75435,4.1,60,23988
Audi A4 45 Premium,2019,1,Ed Napleton Acura Kia,9044,4.1,60,35995
Audi A3 2.0T Premium,2018,3,Chicago Auto Place,57323,4.5,67,23888
Audi Q5 2.0T Premium Plus,2015,6,Coda Motors,97074,4.8,715,15980
Audi Q5 2.0T Premium,2012,9,Lucky Motors Megastore of Villa Park,97074,4.7,603,10480
Audi A5 2.0T Premium,2011,10,Coda Motors,97074,4.7,603,14990
Audi A8 L 3.0T,2013,8,Adam Auto Group,97074,4.7,603,18775
Audi A7 3.0T Prestige,2018,3,Napleton Porsche of Westmont,31685,4.5,55,47000
Audi SQ5 3.0T Premium,2019,1,Napleton Porsche of Westmont,12700,4.5,55,52999
Audi A6 55 Prestige,2019,0,Audi Westmont,8766,4.5,55,52999
Audi A3 2.0T Premium,2018,3,Oakbrook Toyota in Westmont,57861,4.5,55,27900
